NAME                      |     AMOUNT | TRANS_DATETIME      | PROCESS_DATETIME    | LOCATION                           
Torin                     |  33,585.00 | 2020-11-19 00:00:00 | 2021-09-28 0:38:43  | Northern Channel Islands Phacelia  
Curt                      |  47,220.00 | 2020-09-29 00:00:00 | 2021-09-28 4:23:36  | Shamel Ash                         
Karoly                    |  33,768.00 | 2021-05-31 00:00:00 | 2021-09-28 5:42:43  | Firecracker Flower                 
Nona                      |  26,906.00 | 2021-07-22 00:00:00 | 2021-09-28 4:13:47  | Narrowleaf Thorow Wax              
Irwin                     |  15,419.00 | 2021-05-15 00:00:00 | 2021-09-28 16:59:38 | Dwarf Fleabane                     
Annabal                   |  17,613.00 | 2020-12-05 00:00:00 | 2021-09-28 13:49:40 | Texas Snakeweed                    
Say                       |  45,668.00 | 2020-10-03 00:00:00 | 2021-09-28 8:55:24  | Swartz's Pigeonplum                
Lane                      |  14,760.00 | 2021-07-13 00:00:00 | 2021-09-28 10:22:56 | Prairie Sandreed                   
Aura                      |  47,521.00 | 2021-04-02 00:00:00 | 2021-09-28 0:26:29  | Horsefly's Eye                     
Paule                     |   1,648.00 | 2021-02-19 00:00:00 | 2021-09-28 1:43:44  | Kauaikinana Woodfern               
Ketti                     |  22,836.00 | 2020-12-02 00:00:00 | 2021-09-28 5:30:57  | Alberta Beardtongue                
Sheba                     |  13,467.00 | 2020-07-17 00:00:00 | 2021-09-28 19:36:47 | Beach Pea                          
Cob                       |  22,322.00 | 2021-03-12 00:00:00 | 2021-09-28 0:49:17  | Shortleaved Sedge                  
Pooh                      |   9,516.00 | 2020-08-21 00:00:00 | 2021-09-28 5:04:28  | Hypotrachyna Lichen                
Doralynn                  |  22,746.00 | 2020-07-16 00:00:00 | 2021-09-28 2:56:43  | Cucamonga Manroot                  
Sandro                    |   7,443.00 | 2021-03-18 00:00:00 | 2021-09-28 9:56:15  | Kikuyugrass                        
Carlynne                  |  24,688.00 | 2020-11-02 00:00:00 | 2021-09-28 21:35:59 | Raynolds' Sedge                    
Sande                     |  30,915.00 | 2020-12-21 00:00:00 | 2021-09-28 8:42:04  | Spidergrass                        
Deanne                    |  48,898.00 | 2020-12-09 00:00:00 | 2021-09-28 5:02:19  | Scribble Lichen                    
Merwyn                    |  28,689.00 | 2021-03-24 00:00:00 | 2021-09-28 7:45:47  | Elegant Melanelia Lichen           
Marlowe                   |  21,998.00 | 2020-07-15 00:00:00 | 2021-09-28 15:37:04 | Hairy Medick                       
Kayle                     |  47,478.00 | 2020-09-09 00:00:00 | 2021-09-28 18:51:05 | Grimmia Dry Rock Moss              
Aloisia                   |  47,399.00 | 2020-07-11 00:00:00 | 2021-09-28 5:12:06  | Dissected Rockdaisy                
Maisie                    |  39,197.00 | 2020-12-05 00:00:00 | 2021-09-28 21:48:38 | Low Scleropodium Moss              
Lorant                    |   9,012.00 | 2020-10-22 00:00:00 | 2021-09-28 2:47:29  | Scabland Penstemon                 
Barbara                   |   8,536.00 | 2021-06-19 00:00:00 | 2021-09-28 2:36:52  | Protoparmelia Lichen               
Becka                     |  20,486.00 | 2020-12-17 00:00:00 | 2021-09-28 11:15:53 | Thorne's Buckwheat                 
Norina                    |   4,448.00 | 2020-12-11 00:00:00 | 2021-09-28 22:23:22 | Desert Columbine                   
Leora                     |   3,417.00 | 2020-12-21 00:00:00 | 2021-09-28 19:50:04 | Mitchell's Sedge                   
Elisha                    |  10,143.00 | 2020-09-05 00:00:00 | 2021-09-28 2:15:47  | Hybrid Walnut                      
Kira                      |  43,084.00 | 2021-02-06 00:00:00 | 2021-09-28 15:49:27 | Scott Valley Phacelia              
Whitman                   |  30,052.00 | 2020-07-21 00:00:00 | 2021-09-28 1:49:54  | Saltmarsh Morning-glory            
Codi                      |   5,798.00 | 2021-03-16 00:00:00 | 2021-09-28 23:04:55 | Twayblade                          
Shawnee                   |  36,836.00 | 2021-06-03 00:00:00 | 2021-09-28 16:36:33 | Birdcage Evening Primrose          
Rebecca                   |   7,964.00 | 2021-03-29 00:00:00 | 2021-09-28 21:01:03 | Clustered Broomrape                
Sydney                    |  28,010.00 | 2021-03-21 00:00:00 | 2021-09-28 1:55:25  | Rimmed Lichen                      
Jackelyn                  |  12,717.00 | 2020-11-17 00:00:00 | 2021-09-28 4:47:36  | Common Woodrush                    
Rolando                   |  47,101.00 | 2020-08-07 00:00:00 | 2021-09-28 3:42:25  | Common Woodrush                    
Spenser                   |  29,769.00 | 2020-07-21 00:00:00 | 2021-09-28 20:17:39 | Dicranum Moss                      
Kerr                      |  18,533.00 | 2020-09-09 00:00:00 | 2021-09-28 17:12:06 | Abyssinia Entada                   
Abbe                      |   6,864.00 | 2020-07-29 00:00:00 | 2021-09-28 10:49:55 | Scentless Bayberry                 
Tobye                     |   2,673.00 | 2021-02-12 00:00:00 | 2021-09-28 19:20:42 | Eared Hedgemustard                 
Corella                   |   3,857.00 | 2021-02-13 00:00:00 | 2021-09-28 8:19:47  | Ross' Avens                        
Beth                      |  11,450.00 | 2021-04-10 00:00:00 | 2021-09-28 3:42:13  | Hoary Phacelia                     
Paolo                     |  26,727.00 | 2021-01-30 00:00:00 | 2021-09-28 12:30:20 | Bryum Moss                         
Reeva                     |  37,013.00 | 2021-05-20 00:00:00 | 2021-09-28 7:36:13  | Alabama Larkspur                   
Kahlil                    |  11,512.00 | 2020-12-31 00:00:00 | 2021-09-28 7:22:23  | Coralbells                         
Steffane                  |   3,976.00 | 2021-04-15 00:00:00 | 2021-09-28 19:44:26 | Velvetgrass                        
Boycey                    |  43,621.00 | 2021-04-16 00:00:00 | 2021-09-28 1:28:48  | Low False Bindweed                 
Natal                     |   4,095.00 | 2020-09-28 00:00:00 | 2021-09-28 0:18:41  | Kanawao                            
Kim                       |   1,014.00 | 2021-01-06 00:00:00 | 2021-09-28 17:36:45 | Palmer's Century Plant             
Lindi                     |  39,414.00 | 2021-02-20 00:00:00 | 2021-09-28 9:28:25  | Camphor Pluchea                    
Gardner                   |  48,932.00 | 2021-06-11 00:00:00 | 2021-09-28 1:47:00  | Oca                                
Christabella              |  17,393.00 | 2020-10-26 00:00:00 | 2021-09-28 17:01:38 | Wright's Skullcap                  
Coreen                    |  33,881.00 | 2021-06-25 00:00:00 | 2021-09-28 15:47:19 | Bigleaf Lupine                     
Jorge                     |  40,650.00 | 2021-02-18 00:00:00 | 2021-09-28 2:47:19  | Tracy's Thistle                    
Staffard                  |  16,532.00 | 2021-02-21 00:00:00 | 2021-09-28 7:17:15  | Rocky Mountain Beeplant            
Timi                      |  22,067.00 | 2020-10-21 00:00:00 | 2021-09-28 22:37:11 | Slimleaf Rosewood                  
Zedekiah                  |  27,943.00 | 2021-05-07 00:00:00 | 2021-09-28 1:06:54  | Spotted Gum                        
Thea                      |  46,012.00 | 2021-04-12 00:00:00 | 2021-09-28 10:14:00 | Sicklepod Rockcress                
Stephan                   |  49,681.00 | 2020-09-05 00:00:00 | 2021-09-28 20:34:25 | Sugar Pine Dwarf Mistletoe         
Lionel                    |  13,264.00 | 2020-08-20 00:00:00 | 2021-09-28 8:39:06  | Thompson's Pincushion              
Minette                   |  31,634.00 | 2021-03-21 00:00:00 | 2021-09-28 5:55:03  | Tortula Moss                       
Antonio                   |   1,112.00 | 2021-05-20 00:00:00 | 2021-09-28 1:37:54  | Leach's Triteleia                  
Waylen                    |  39,788.00 | 2021-05-21 00:00:00 | 2021-09-28 15:13:56 | Maui Peperomia                     
Thia                      |   4,380.00 | 2021-01-27 00:00:00 | 2021-09-28 18:23:25 | Pricklyash                         
Constanta                 |  12,837.00 | 2021-05-08 00:00:00 | 2021-09-28 1:11:53  | Bay                                
Stefa                     |   8,736.00 | 2020-10-18 00:00:00 | 2021-09-28 6:48:49  | Plum Pine                          
Angie                     |  17,845.00 | 2021-05-06 00:00:00 | 2021-09-28 1:49:48  | Depressed Shrubverbena             
Cordy                     |  21,530.00 | 2021-01-15 00:00:00 | 2021-09-28 23:41:18 | Torrey's Blazingstar               
Petronella                |   8,894.00 | 2021-01-23 00:00:00 | 2021-09-28 9:19:29  | Boxelder                           
Quinlan                   |  32,646.00 | 2021-02-23 00:00:00 | 2021-09-28 9:58:37  | Sclerophora Lichen                 
Daniel                    |  17,961.00 | 2021-05-14 00:00:00 | 2021-09-28 5:34:57  | Cutleaf Meadowparsnip              
Cory                      |   1,624.00 | 2021-06-20 00:00:00 | 2021-09-28 6:47:46  | Geyer's Milkvetch                  
Juliet                    |  38,379.00 | 2021-05-18 00:00:00 | 2021-09-28 14:41:02 | Clusterspike False Indigo          
Lucita                    |  14,619.00 | 2020-08-28 00:00:00 | 2021-09-28 9:41:32  | American Milletgrass               
Mick                      |   1,039.00 | 2021-05-10 00:00:00 | 2021-09-28 4:08:00  | Sasak's Snow Lichen                
Lemuel                    |  31,193.00 | 2021-07-06 00:00:00 | 2021-09-28 8:29:50  | Goatgrass                          
Eadith                    |   1,758.00 | 2021-03-19 00:00:00 | 2021-09-28 15:27:54 | Thymeleaf Mock Orange              
Manfred                   |   4,382.00 | 2020-12-20 00:00:00 | 2021-09-28 23:44:22 | California Butterwort              
Bobinette                 |  30,333.00 | 2021-02-08 00:00:00 | 2021-09-28 4:20:43  | Carolina Laurelcherry              
Holt                      |  19,931.00 | 2020-11-21 00:00:00 | 2021-09-28 11:51:05 | Crevajosa                          
Chastity                  |  22,380.00 | 2020-11-16 00:00:00 | 2021-09-28 16:02:39 | Brazilian Cat's Ear                
Sonni                     |  44,851.00 | 2020-11-10 00:00:00 | 2021-09-28 18:15:00 | Chaparral Bird's-foot Trefoil      
Orrin                     |  24,949.00 | 2020-09-05 00:00:00 | 2021-09-28 8:08:28  | Dragon's Mouth                     
Hazel                     |  33,928.00 | 2021-05-27 00:00:00 | 2021-09-28 14:16:50 | Rigid Didymodon Moss               
Alecia                    |  31,933.00 | 2020-09-01 00:00:00 | 2021-09-28 15:06:15 | Funaria Moss                       
Joseph                    |  40,766.00 | 2021-05-02 00:00:00 | 2021-09-28 15:22:37 | Velvet Lichen                      
Anita                     |   7,016.00 | 2021-05-01 00:00:00 | 2021-09-28 10:11:10 | Glowvine                           
Korney                    |  32,970.00 | 2021-05-03 00:00:00 | 2021-09-28 1:10:27  | Canby's Aster                      
Latashia                  |   5,767.00 | 2021-02-27 00:00:00 | 2021-09-28 13:06:23 | Pale Evening Primrose              
Jaquith                   |  17,186.00 | 2020-10-22 00:00:00 | 2021-09-28 9:53:23  | Spindletree                        
Dottie                    |  46,266.00 | 2020-10-15 00:00:00 | 2021-09-28 4:29:39  | Dc Dewberry                        
Neila                     |  26,219.00 | 2020-12-24 00:00:00 | 2021-09-28 15:06:48 | Ruscus-leaf Bamboo                 
Anders                    |  12,434.00 | 2020-07-15 00:00:00 | 2021-09-28 6:08:58  | Mt. Tamalpais Jewelflower          
Thoma                     |   3,245.00 | 2021-05-01 00:00:00 | 2021-09-28 18:14:57 | Goldenrod                          
Bess                      |  33,991.00 | 2021-04-29 00:00:00 | 2021-09-28 14:36:45 | Virginia Spiderwort                
Dacey                     |  38,188.00 | 2021-01-01 00:00:00 | 2021-09-28 2:08:49  | Tutwiler's Spleenwort              
Sibella                   |  49,121.00 | 2021-01-21 00:00:00 | 2021-09-28 5:44:51  | Rosette Grass                      
Olia                      |  16,726.00 | 2020-10-30 00:00:00 | 2021-09-28 19:12:07 | Cimmeron                           
Chuck                     |  33,935.00 | 2020-12-18 00:00:00 | 2021-09-28 17:32:09 | Quillwort                          
Israel                    |  43,664.00 | 2021-07-07 00:00:00 | 2021-09-28 7:30:27  | Cynodontium Moss                   
Phineas                   |   8,826.00 | 2021-06-20 00:00:00 | 2021-09-28 3:31:59  | Orthotrichum Moss                  
Monte                     |  23,111.00 | 2021-05-21 00:00:00 | 2021-09-28 4:05:00  | Coastal Miterwort                  
Genovera                  |   1,686.00 | 2021-03-04 00:00:00 | 2021-09-28 2:17:51  | Snakeweed                          
Carolina                  |  18,110.00 | 2021-02-25 00:00:00 | 2021-09-28 14:41:27 | Ebony Spleenwort                   
Stillman                  |  46,451.00 | 2021-02-22 00:00:00 | 2021-09-28 19:01:26 | Slender Hop Clover                 
Leonid                    |  15,476.00 | 2020-09-15 00:00:00 | 2021-09-28 16:35:44 | Alpine-ash                         
Cameron                   |   3,388.00 | 2021-02-10 00:00:00 | 2021-09-28 17:36:56 | Hairy Spinifex                     
Clint                     |  34,190.00 | 2020-10-07 00:00:00 | 2021-09-28 0:54:09  | Bristly Jewelflower                
Adamo                     |   2,068.00 | 2020-10-22 00:00:00 | 2021-09-28 12:22:48 | San Jacinto Buckwheat              
Monroe                    |   8,091.00 | 2021-04-13 00:00:00 | 2021-09-28 2:04:08  | Tasmanian Xanthoparmelia Lichen    
Weylin                    |  26,544.00 | 2020-12-08 00:00:00 | 2021-09-28 1:44:01  | Hawthorn                           
Stefano                   |   2,903.00 | 2021-05-06 00:00:00 | 2021-09-28 6:16:43  | California Laurel                  
Dar                       |  13,187.00 | 2021-07-25 00:00:00 | 2021-09-28 21:26:42 | Upland Boneset                     
Lynna                     |  42,156.00 | 2021-01-30 00:00:00 | 2021-09-28 9:52:41  | Pineland Plantain                  
Toddie                    |  14,862.00 | 2020-12-20 00:00:00 | 2021-09-28 20:26:13 | Shrubby Blue Sage                  
Tanney                    |  39,357.00 | 2021-02-25 00:00:00 | 2021-09-28 19:22:43 | Indian Biscuitroot                 
Emlyn                     |  39,931.00 | 2021-04-15 00:00:00 | 2021-09-28 3:20:47  | Tharp's Croton                     
Udale                     |  23,068.00 | 2020-08-12 00:00:00 | 2021-09-28 14:13:07 | Squirreltail                       
Robbie                    |  44,600.00 | 2021-02-14 00:00:00 | 2021-09-28 19:39:51 | Grand Devil's-claws                
Leonardo                  |   6,277.00 | 2020-10-27 00:00:00 | 2021-09-28 5:28:45  | Arizona Valerian                   
Samuele                   |  44,587.00 | 2021-07-28 00:00:00 | 2021-09-28 22:03:20 | Egyptian Riverhemp                 
Karel                     |   1,753.00 | 2021-05-02 00:00:00 | 2021-09-28 17:16:04 | Orange Lichen                      
Rhiamon                   |  13,042.00 | 2021-03-29 00:00:00 | 2021-09-28 3:40:30  | Edging Lobelia                     
Carlina                   |  34,375.00 | 2021-01-09 00:00:00 | 2021-09-28 20:29:34 | Radford's Sedge                    
Thibaud                   |  16,210.00 | 2020-11-11 00:00:00 | 2021-09-28 17:08:08 | Alpine Cancer-root                 
Ingeborg                  |  10,111.00 | 2021-06-26 00:00:00 | 2021-09-28 22:38:18 | Lecidea Lichen                     
Killy                     |  45,776.00 | 2021-02-22 00:00:00 | 2021-09-28 20:24:15 | Hot Springs Globemallow            
Kit                       |  47,478.00 | 2020-09-22 00:00:00 | 2021-09-28 15:35:44 | Hardheads                          
Marquita                  |  15,353.00 | 2021-06-29 00:00:00 | 2021-09-28 4:40:07  | Goldenrod                          
Kendricks                 |   3,964.00 | 2020-08-25 00:00:00 | 2021-09-28 0:40:10  | Chinese Wisteria                   
Arleyne                   |  47,681.00 | 2021-07-13 00:00:00 | 2021-09-28 4:42:25  | Heartleaf Willow                   
Izabel                    |  29,915.00 | 2021-07-13 00:00:00 | 2021-09-28 23:11:01 | Hybrid Oak                         
Elizabet                  |   1,669.00 | 2020-08-27 00:00:00 | 2021-09-28 11:14:33 | Hairy False Goldenaster            
Mannie                    |  17,022.00 | 2020-08-17 00:00:00 | 2021-09-28 3:50:28  | Lindheimer's Beebalm               
Bride                     |  41,686.00 | 2020-10-12 00:00:00 | 2021-09-28 10:09:30 | Pacific Madrone                    
Francklyn                 |  33,208.00 | 2020-10-11 00:00:00 | 2021-09-28 12:04:16 | Sarea Lichen                       
Annabel                   |  45,577.00 | 2020-12-26 00:00:00 | 2021-09-28 19:52:13 | Congdon's Tarweed                  
Alaric                    |  26,303.00 | 2021-04-26 00:00:00 | 2021-09-28 10:57:30 | Rush                               
Davine                    |  37,930.00 | 2021-02-07 00:00:00 | 2021-09-28 7:27:16  | Spineflower                        
Felicdad                  |   8,834.00 | 2021-05-23 00:00:00 | 2021-09-28 7:21:55  | Aloina Moss                        
Minny                     |  44,802.00 | 2020-07-23 00:00:00 | 2021-09-28 22:13:31 | Single Delight                     
Sherwynd                  |  24,356.00 | 2020-08-26 00:00:00 | 2021-09-28 7:40:08  | Pulvinate Euopsis Lichen           
Janean                    |  24,083.00 | 2020-10-02 00:00:00 | 2021-09-28 17:27:20 | Hoja Menuda                        
Benedicto                 |  21,235.00 | 2020-12-31 00:00:00 | 2021-09-28 22:27:30 | Knotweed                           
Marilin                   |  20,207.00 | 2020-07-22 00:00:00 | 2021-09-28 17:49:28 | European Common Reed               
Andonis                   |  26,931.00 | 2021-01-29 00:00:00 | 2021-09-28 15:53:38 | Fireweed Groundsel                 
Cinda                     |  32,490.00 | 2020-12-25 00:00:00 | 2021-09-28 22:05:32 | San Diego Pepperweed               
Alyce                     |   5,999.00 | 2021-05-10 00:00:00 | 2021-09-28 11:08:00 | Maidenhair Spleenwort              
Beltran                   |   3,380.00 | 2021-03-19 00:00:00 | 2021-09-28 5:24:34  | Carolina Vervain                   
Doro                      |  35,570.00 | 2021-06-28 00:00:00 | 2021-09-28 7:28:26  | Oldplainsman                       
Jeno                      |  31,825.00 | 2020-09-30 00:00:00 | 2021-09-28 12:40:43 | Rosendahl's Golden Saxifrage       
Fredek                    |  46,404.00 | 2020-12-09 00:00:00 | 2021-09-28 7:26:04  | Bolander's Madia                   
Shaylyn                   |  25,966.00 | 2021-07-04 00:00:00 | 2021-09-28 1:36:13  | Stemless Beardtongue               
Jaymee                    |  20,519.00 | 2020-10-15 00:00:00 | 2021-09-28 9:35:48  | Eared Flatsedge                    
Ursulina                  |  44,947.00 | 2021-07-06 00:00:00 | 2021-09-28 17:14:27 | Drummond's Leaf-flower             
Tim                       |  15,158.00 | 2020-07-11 00:00:00 | 2021-09-28 15:10:29 | Twoscale Saltbush                  
Celesta                   |  10,239.00 | 2020-09-21 00:00:00 | 2021-09-28 17:12:32 | Eccremocactus                      
Shurlock                  |  38,488.00 | 2020-08-31 00:00:00 | 2021-09-28 23:48:13 | Creeping Eryngo                    
Freda                     |  37,669.00 | 2020-08-18 00:00:00 | 2021-09-28 7:00:06  | Coldwater Fumewort                 
Alden                     |  38,212.00 | 2020-09-28 00:00:00 | 2021-09-28 21:06:52 | Santa Monica Lecidea Lichen        
Dawna                     |   3,882.00 | 2021-04-02 00:00:00 | 2021-09-28 11:35:26 | Malheur Valley Fiddleneck          
Kermie                    |  35,181.00 | 2020-12-01 00:00:00 | 2021-09-28 17:22:07 | Bog White Violet                   
Winnifred                 |   3,400.00 | 2020-11-08 00:00:00 | 2021-09-28 8:23:59  | Breutel's Notothylas               
Tades                     |  18,708.00 | 2021-01-24 00:00:00 | 2021-09-28 7:45:27  | Mono Craters Blazingstar           
Delphinia                 |  13,207.00 | 2020-09-14 00:00:00 | 2021-09-28 1:26:48  | Tough Bully                        
Birgit                    |  14,450.00 | 2021-01-13 00:00:00 | 2021-09-28 20:23:38 | Hungarian Iris                     
Flossie                   |  27,096.00 | 2020-08-09 00:00:00 | 2021-09-28 2:45:37  | Lespedeza                          
Nickey                    |   4,476.00 | 2020-10-29 00:00:00 | 2021-09-28 21:32:48 | Common Moonseed                    
Shirlene                  |  40,495.00 | 2020-08-18 00:00:00 | 2021-09-28 15:56:13 | Largeflower Tickseed               
Diahann                   |  22,362.00 | 2021-06-24 00:00:00 | 2021-09-28 16:11:26 | Wahiawa Bog Sandmat                
Karlan                    |  18,765.00 | 2021-07-13 00:00:00 | 2021-09-28 14:03:50 | Nodule Cracked Lichen              
Georgena                  |  23,393.00 | 2021-04-15 00:00:00 | 2021-09-28 13:52:00 | Wild Jute                          
Shirl                     |  33,527.00 | 2020-07-24 00:00:00 | 2021-09-28 18:30:49 | Canyon Spiderwort                  
Noemi                     |   9,062.00 | 2020-12-29 00:00:00 | 2021-09-28 20:13:49 | Cecilia's Prairie Clover           
Elwood                    |  36,265.00 | 2020-10-26 00:00:00 | 2021-09-28 12:08:28 | Morrito                            
Rey                       |   6,374.00 | 2021-01-27 00:00:00 | 2021-09-28 9:57:50  | Shrubby Milkwort                   
Moses                     |  37,864.00 | 2020-07-01 00:00:00 | 2021-09-28 5:27:14  | Tufted Alpine Saxifrage            
Boote                     |  16,066.00 | 2021-03-24 00:00:00 | 2021-09-28 21:18:18 | Ashen Milkvetch                    
Olivier                   |  41,204.00 | 2021-07-14 00:00:00 | 2021-09-28 23:50:21 | Dahurian Buckthorn                 
Madlin                    |  25,161.00 | 2021-01-02 00:00:00 | 2021-09-28 4:17:55  | Salt Sedge                         
Catherina                 |  25,861.00 | 2021-02-13 00:00:00 | 2021-09-28 13:44:06 | Sanddune Sandmat                   
Sonny                     |   2,269.00 | 2020-11-09 00:00:00 | 2021-09-28 15:33:10 | Central America Grass              
Sloane                    |   7,342.00 | 2020-09-14 00:00:00 | 2021-09-28 6:14:04  | Virginia Pine                      
Henka                     |  37,517.00 | 2020-10-15 00:00:00 | 2021-09-28 0:31:23  | Handsome Cryptantha                
Leland                    |   3,385.00 | 2020-09-15 00:00:00 | 2021-09-28 10:01:56 | Field Chickweed                    
Olwen                     |  33,763.00 | 2020-11-13 00:00:00 | 2021-09-28 10:10:35 | Texas Goldentop                    
Wade                      |  25,560.00 | 2020-07-20 00:00:00 | 2021-09-28 2:57:39  | Alpine Chickweed                   
Aurelia                   |  33,057.00 | 2021-04-21 00:00:00 | 2021-09-28 17:03:17 | Fleshyfruit Gladecress             
Joelie                    |  29,010.00 | 2020-10-06 00:00:00 | 2021-09-28 2:22:13  | Ring Lichen                        
Gilbertina                |  30,123.00 | 2021-07-10 00:00:00 | 2021-09-28 6:29:50  | Steudel's Morning-glory            
Gherardo                  |   8,893.00 | 2021-04-16 00:00:00 | 2021-09-28 22:18:06 | West Indian Buckthorn              
Thibaud                   |  34,998.00 | 2020-12-13 00:00:00 | 2021-09-28 5:00:28  | Alpine Currant                     
Teodor                    |  38,092.00 | 2021-06-13 00:00:00 | 2021-09-28 5:58:30  | Septicweed                         
Holly                     |  29,476.00 | 2021-03-14 00:00:00 | 2021-09-28 3:08:11  | Roundleaf Four O'clock             
Mimi                      |  22,970.00 | 2021-01-31 00:00:00 | 2021-09-28 19:29:53 | Slender Amaranth                   
Roldan                    |  36,697.00 | 2021-06-22 00:00:00 | 2021-09-28 4:54:35  | Forked Aster                       
Lauretta                  |  34,603.00 | 2020-10-06 00:00:00 | 2021-09-28 16:59:38 | Gaping Dutchman's Pipe             
Jerry                     |  29,425.00 | 2020-11-03 00:00:00 | 2021-09-28 23:40:56 | Desert Springparsley               
Ulrick                    |  25,936.00 | 2021-06-06 00:00:00 | 2021-09-28 19:11:48 | Small Baby Blue Eyes               
Cathi                     |  22,395.00 | 2020-10-12 00:00:00 | 2021-09-28 16:33:53 | Savin                              
Wynny                     |  20,809.00 | 2020-11-10 00:00:00 | 2021-09-28 2:19:24  | Stone Mountainmint                 
Delilah                   |  48,851.00 | 2021-03-22 00:00:00 | 2021-09-28 19:11:23 | Gum Bully                          
Lora                      |  22,992.00 | 2021-02-09 00:00:00 | 2021-09-28 18:44:05 | Ohio Buckeye                       
Kessiah                   |  12,393.00 | 2021-05-11 00:00:00 | 2021-09-28 17:44:51 | Naked Sedge                        
Byrle                     |  42,732.00 | 2021-02-01 00:00:00 | 2021-09-28 21:13:14 | Ant Tree                           
Donn                      |  38,985.00 | 2020-12-10 00:00:00 | 2021-09-28 14:27:37 | California Blackberry              
Viviana                   |  43,485.00 | 2020-08-24 00:00:00 | 2021-09-28 5:50:29  | Douglas' Bluegrass                 
Amory                     |  24,041.00 | 2020-08-26 00:00:00 | 2021-09-28 0:17:57  | Smoooth Thorn-apple                
Madelene                  |  38,522.00 | 2020-09-10 00:00:00 | 2021-09-28 17:45:44 | Nechamandra                        
Kerry                     |   7,602.00 | 2020-09-03 00:00:00 | 2021-09-28 19:05:12 | Mt. Davis Brickellbush             
Krispin                   |  43,207.00 | 2021-02-26 00:00:00 | 2021-09-28 5:49:48  | Oplopanax                          
Gordie                    |  26,843.00 | 2020-08-07 00:00:00 | 2021-09-28 7:45:43  | Blackthread Lichen                 
Kerwinn                   |  15,867.00 | 2020-12-18 00:00:00 | 2021-09-28 3:18:32  | European Cranberrybush             
Roxi                      |   3,697.00 | 2020-09-29 00:00:00 | 2021-09-28 4:06:08  | Purple Sweetroot                   
Stormy                    |  38,087.00 | 2021-05-17 00:00:00 | 2021-09-28 18:25:53 | Desert Dodder                      
Laurie                    |   1,998.00 | 2021-02-07 00:00:00 | 2021-09-28 5:12:13  | Coleus                             
Vittorio                  |  37,241.00 | 2020-07-30 00:00:00 | 2021-09-28 21:06:35 | Pygmy Manzanita                    
Fredek                    |  46,420.00 | 2020-08-31 00:00:00 | 2021-09-28 11:27:17 | Orange Lichen                      
Christen                  |  34,734.00 | 2020-12-29 00:00:00 | 2021-09-28 4:34:03  | Narrowleaf Vervain                 
Dorolisa                  |  12,808.00 | 2020-09-28 00:00:00 | 2021-09-28 0:17:26  | Spreadwing                         
Marthe                    |   1,768.00 | 2020-11-20 00:00:00 | 2021-09-28 15:15:06 | Bejuco De Clavo                    
Harriet                   |  27,978.00 | 2021-07-17 00:00:00 | 2021-09-28 16:44:05 | Australian Lovegrass               
Wendye                    |  45,567.00 | 2020-12-24 00:00:00 | 2021-09-28 4:59:58  | Rock Fumewort                      
Evanne                    |  37,244.00 | 2020-12-14 00:00:00 | 2021-09-28 21:51:17 | Golden Columbine                   
Cinda                     |   8,097.00 | 2021-01-06 00:00:00 | 2021-09-28 23:53:20 | Little Quakinggrass                
Jody                      |  27,075.00 | 2021-05-09 00:00:00 | 2021-09-28 15:23:43 | Small's Rainlily                   
Gawen                     |  10,754.00 | 2021-05-22 00:00:00 | 2021-09-28 8:14:30  | Browneyes                          
Stephi                    |  25,192.00 | 2021-03-22 00:00:00 | 2021-09-28 6:44:05  | Senegal Date Palm                  
Elvin                     |  22,510.00 | 2021-03-27 00:00:00 | 2021-09-28 3:50:17  | Cascara Buckthorn                  
Cecilla                   |  43,638.00 | 2021-06-28 00:00:00 | 2021-09-28 11:02:50 | Mecranium                          
Gale                      |  25,544.00 | 2020-08-17 00:00:00 | 2021-09-28 4:52:51  | Rough Stickseed                    
Munmro                    |  14,001.00 | 2021-02-02 00:00:00 | 2021-09-28 6:00:40  | European Spindletree               
Bruce                     |  15,770.00 | 2020-11-18 00:00:00 | 2021-09-28 21:50:43 | Script Lichen                      
Chloris                   |   5,047.00 | 2021-06-21 00:00:00 | 2021-09-28 19:16:18 | Red Monardella                     
Travers                   |   2,058.00 | 2021-07-25 00:00:00 | 2021-09-28 11:22:24 | Stinking Milkvetch                 
Darrick                   |  19,569.00 | 2020-08-07 00:00:00 | 2021-09-28 14:45:56 | Fan Maidenhair                     
Elsinore                  |  11,944.00 | 2020-09-08 00:00:00 | 2021-09-28 22:19:37 | Largeflower Yellow False Foxglove  
Zaccaria                  |  14,308.00 | 2021-04-19 00:00:00 | 2021-09-28 20:36:43 | Trans-pecos Morning-glory          
Liz                       |  21,267.00 | 2021-04-16 00:00:00 | 2021-09-28 18:07:21 | Lecania Lichen                     
Lezlie                    |   3,428.00 | 2020-09-23 00:00:00 | 2021-09-28 11:45:12 | Galbanum                           
Alfi                      |  12,536.00 | 2020-09-04 00:00:00 | 2021-09-28 18:22:20 | Summer Holly                       
Analise                   |   8,262.00 | 2021-01-08 00:00:00 | 2021-09-28 20:50:22 | Atlantic White Cedar               
Hillel                    |  12,923.00 | 2021-04-15 00:00:00 | 2021-09-28 20:30:27 | Twistedstalk                       
Shelby                    |  33,031.00 | 2021-03-18 00:00:00 | 2021-09-28 7:07:02  | Seventop Turnip                    
